他想拉同村的干部一起下水去贩毒。	He wants to take the cadres of the same village to sell drugs with him.
吃掉敌人一个师。	Destroy a division of the enemy.
到现在也没给我安排住房，晚上只好到处游击。	I have not been arranged accommodation until now, so I had to look around for it at night.
九十年代很多人下海经商。	In the 1990s, many people ventured into business.
他这个人真是一块朽木。	He is a man who can't be taught.
他是一个爱丢东西的人。	He is a person who is often prone to lose things.
警察在这里安了几个人。	The police arranged several people here.
汛期已过，河流安澜。	The flood season has passed and the river is quiet.
他的罪还够不上行政警告处分。	His fault is still not enough for administrative warnings.
他接到命令要求拔敌人岗楼。	He received an order to take the enemies' watchtower.
言多必失，嘴上要有个把门的。	One is bound to have a slip of the tongue if he talks too much, so we sometimes should keep our mouths shut.
白了他一眼。	gave him an angry stare.
他猜谜语百发百中。	He is good at guessing riddles.
你的嘴太快了。	You spoke too fast.
我国有我国的国情，完全搬人家的管理方法不行。	Our national conditions is different from other countries, so it is impossible to completely use others' management methods
地很板，不好犁。	The ground is very hard and make it difficult to be ploughed.
那时候的留学生要住一年预科。	At that time, international students were required to take a one-year preparatory course.
这块地不薄。	This land is fertile.
大臣们准备奏一份奏折。	The ministers were ready to write a memorial.
一颗子弹报销一个敌人。	A bullet eliminates an enemy.
合理支配工作与学习。	Arrange work and study properly.
这个房间里的小孩需要整治。	The children in this room need to be punished.
他擅长于援引未被发掘的人才。	He is good at recommending undiscovered talent.
大军已逼城郊。	The army has approached the suburbs.
比着身子做衣服。	take measurement to make clothes.
晚饭后散步是他的必修课。	Walking after dinner is a must for him.
你要说实话，不要乱咬别人。	You have to tell the truth, and don't involve others into this.
我们决不让祖国的江山变色。	We will never let the motherland's mountains and rivers change to the wrong direction.
这届全运会，我省派出了四百名选手参战。	In this National Games, our province assigned 400 players to participate in the competition.
这个工程已经下马。	This project has been abandoned.
这个工程师是一个大草包。	This engineer is a person who has no ability.
如果不用心，就治不好学。	If you don't study by heart, you can't do scholarly research.
这些士兵已经抄了两次家。	These soldiers have searched and confiscated their homes twice.
他赤身闯商界，如今已经是一家公司的董事长。	He started business by scratch but now is the president of a company.
这个人戴着的表走了3分钟。	The watch worn by this person was turned for 3 minutes.
请你把这两句话串在一起。	Please put these two sentences together.
春意在两个年轻人的胸中荡漾。	Love is rippling in the chest of two young people.
江水窜起来比桥都高。	The river jumped to a height, and was higher than the bridge.
他正在打军队急需要收到的一封电报。	He is sending a telegram that the army urgently needs.
这条街有很多可以当首饰的店铺。	There are many pawnshops in this street where the jewelries can be pawned for money.
那个女人嘴里往外倒粪。	That woman swears out in her mouth.
在他的名字下面画了一条道。	Draw a line under his name.
店铺已经顶出去了。	The store has been transferred.
一上考场，他心里就发毛。	As soon as he got to the examination room, he was panicked.
局长受贿的事最近终于翻车了。	The director's bribery has been disclosed finnally.
他的爱好就是钻书本。	His hobby is to dig into books.
贩卖资产阶级的精神鸦片。	Inculcate the spiritual opium of the bourgeoisie.
听了他安慰的话，一股暖流涌上心头。	After listening to his words for comfort, a warm emotion came to my heart.
他这句话简直就是在拍卖青春。	His words is simply selling youth.
银行工作肥的很。	Working in the bank means high income
沸腾的群众运动场面。	The boiling scene of the mass movement.
调查组的同志分发各个地方。	The comrades of the investigation team were distributed to the various places.
请大家不要在发传单时分散自己的注意力。	Please don't distract yourself when you send out flyers.
今年风调雨顺，农民的秋景一定很好。	This year's weather is good, and the harvest of the farmers' autumn must be very good.
打探风声。	Inquire about the news.
这药用温水送服。	This mediciine is taken with warm water.
他是个老江湖了。	He is a man who has a lot of experience.
他在官场已经浮沉过好几次了，很有经验。	He has experienced several ups and downs in the official circle, so he is quite experienced
这些建筑工人正在盖的是一个专门用于卖被子的商场。	These builders are building a shopping mall specialized in selling quilts.
老师在他的作文本上画了许多杠。	The teacher drew a lot of lines on his text.
他说的内容是挺高调的，但并不容易做到。	What he said is quite high-profile, but it is not easy to do.
他的写作计划搁浅了。	His writing plan cannot be carried out.
经过两年的攻关，终于解决了这道技术难题。	After two years' research, this technical problem was finally solved.
与他交流过的人都认为这个人是个古董。	Anyone who has talked with him thinks this person is old fogey.
这小两口经常刮父母。	This young couple often fleeced their parents.
他的心里还是挂着厂里的事情。	His heart was still worried about the things in the factory.
办事真不容易，哪一个关节都可能卡壳。	Carrying out this matter is not easy, for it may got stuck in every procedure.
我起早惯了，睡懒觉不舒服。	I get used to geting up early, and I don't feel well when I get up late.
他做了不该做的事情，心中有鬼。	He did something that should not be done, so he was quite guilty.
对于这件事情，他心里有着谱。	For this matter, he has assurance in his heart.
车祸横生。	The car accident happened unexpectedly.
他从后门搞到了不少名酒。	He got a lot of famous wines from the road of fraud.
丁老汉这手绝门，连他女儿都不会。	Even Ding Laohan’s daughter does not master his unique skill.
幼儿园的老师精心培育着祖国的花朵。	Kindergarten teachers carefully cultivate children in the motherland.
公司招聘了几个花瓶，是专门用来招待客人的。	The company recruited several beautiful persons to entertain guests.
这家工厂收集到的树木数量一直在滑坡，导致产量一直低下。	The number of trees collected by this factory has been declining, resulting in low yields.
他正在回家里给他写的信。	He is replying the letter which his family wrote to him.
他去年回炉，想再考一次大学。	He studied again last year and wanted to take university entrance exam again.
在巡视这里3个月之后，纪委又给了一个回马枪。	After three months of inspecting here, the Commission for Discipline Inspection gave a sudden return visit.
他对着山谷大喊，收到的只有回音。	He shouted at the valley alone, and only received an echo.
他的说话充满火药味。	His words are combative.
好的作品要经过多次的锤炼。	Good works have to be revised many times.
孩子已经在很努力准备高考了，不要再给他加温了。	The child has already been hardworking enough for the college entrance examination, so it is unnecessary to impose additional pressure.
这个家伙太笨重，不好拿得动。	This thing is too cumbersome to take.
计划一定要有相应的合理的措施，才不会架空。	There must be corresponding reasonable measures in the plan, otherwise the plan would be impracticable.
写小说前要先搭好小说的架子。	Before writing a novel, you must first set up the organizational structure of the novel.
他这个人就是很贱。	He is a very despicable person.
二手市场卖的一般都是贱货。	The second-hand market generally sells cheap goods.
他打算叫四个菜。	He plans to order four dishes.
这个夫妻俩又因为孩子的事情在屋内接火了。	The couple quarreled in the house because of the child's affairs again.
这个鞋带他只用10秒钟就能解。	This shoelace can be undid in only 10 seconds.
电话铃声截断了他的话。	The phone ringing interrupted his words.
为了利益，他把朋友给卖了。	For the sake of profit, he betrayed his friend.
他进了一批鞋。	He purchased a stock of shoes
我不愿意挖别人公司的墙角。	I don't want to poach from other company.
这周月底是开保洁人员的工资的时候。	The end of this week is the time to pay the salary of the cleaning staff.
你要干出大事业，就肯定会摔跤。	If you want to have a big business, you will definitely suffer failure.
他的身体在连续工作了数天后亏损了。	His body was weak after working for several days in a row.
他愁苦很久的心事终于落地了。	His melancholy mind for a long time was finally relieved.
他有关怀孕女性的研究在当前研究条件下容易陷入难产的境地。	His research on pregnant women is prone to be difficult of fulfillment under current research conditions.
他引用的都是他的亲戚。	All of the person he appointed were his relatives.
他们部门的内耗很严重。	The internal incoordination of their department is very serious.
他打算接厂长的工作。	He intends to take over the work of the factory manager.
我们已经与敌人接触过了。	We have engaged the enemy.
先冷一下这件事情。	Let's stop this thing first.
年已老了。	The age is old.
他有着宽厚的声音。	He has a rich voice.
我把你拉扯长大。	I brought you up.
这家知名企业是行业中的龙头。	This well-known company is the leader in the industry.
这是他捏弄出来的新事物。	This is the new thing he produced.
他扭了他自己的坏习惯。	He corrected his own bad habits.
他的灵魂被这件事情扭曲了。	His soul was distorted by this thing.
遇到一点困难，他立马趴下了。	After running up against a little difficulty, he immediately collapsed.
他们正在拍电影。	They are making a movie.
他善于贿赂，不久便爬上了局长的宝座。	He ofen bribed and soon hot the position of director.
在现代，只有大学生的牌子也是找不到好的工作。	In modern times, only the brand of college students can't help secure a good job.
背离正确原则。	Be deviated from the correct principle.
他喜欢攀他的上司。	He likes seeking connections with his superior.
收拾这个事情的残局。	Clean up the mess of this matter.
现在市场不好，赶紧把手中的货物抛出去。	Now the market is not good, so we should lose no time to sell the goods that we have.
这人真是个饭桶，什么事都干不好。	This person is really a good-for-nothing, and he can do nothing.
部队里的炮的威力很大。	The guns in the troops are very powerful.
这个教师认真地培养着他的学生。	This teacher carefully trained his students.
关于这个领域，我只知道皮毛。	I only know about superficial things about this field.
他们选的题目碰头了。	The topics they chose collided.
请你给这本书包一层皮。	Please wrap this book with a cover.
图书市场已经很疲困了。	The book market has already been in a downward trend.
磁铁使用时间长，会变得疲劳。	Magnets become fatigued if they are used for a long time.
谁也不愿意聘她做媳妇儿。	No one want to marry her as a wife.
政府平了动乱。	The government surpressed the turmoil.
我的伤口平复了。	My wound has been healed.
他这次上街又破了不少钱。	He spent a lot of money during this shopping.
这个文章深刻地剖了这个问题。	This article analyzes this issue profoundly.
他已经成为了全军的旗帜。	He has become an examplary person for the entire army.
你别起火了，注意心情保持平静。	Don't be angry,pay attention to keep calm.
海水在这次暴风雨中起立。	The sea surged during the storm.
这两个人牵扯一头母牛。	The two men pulled a cow.
他潜入了这座城市。	He sneaked into the city.
这个颜色太浅了。	This color is too light.
这个计划被枪毙了。	This plan was abandoned.
强奸民意。	Forcibly impose opinions on the public.
这批大米在市场上很俏。	This batch of rice was sold well in the market.
老百姓都把这个人称作青天。	People called this man a just judge.
他已经是一个登上青云的人。	He has became a man who has ascended the positions of senior officials.
这是一份轻薄但却有意义的礼物。	This is a little but meaningful gift.
天上的云彩显得很轻浮。	The clouds in the sky seemed very light.
